11/05/2018 05:54:09 AM - INFO - Symbol: LSX number of records: 764
11/05/2018 05:54:10 AM - INFO - Symbol: DXF number of records: 212
11/05/2018 05:54:10 AM - INFO - Symbol: MUS number of records: 2116
11/05/2018 05:54:10 AM - INFO - Symbol: NTI number of records: 289
11/05/2018 05:54:10 AM - INFO - Symbol: AGJ number of records: 480
11/05/2018 05:54:11 AM - INFO - Symbol: WMC number of records: 272
11/05/2018 05:54:11 AM - INFO - Symbol: 1AG number of records: 1512
11/05/2018 05:54:11 AM - INFO - Symbol: VRS number of records: 1610
11/05/2018 05:54:12 AM - INFO - Symbol: WBA number of records: 2268
11/05/2018 05:54:12 AM - INFO - Symbol: BCI number of records: 2642
11/05/2018 05:54:12 AM - INFO - Symbol: AOA number of records: 418
11/05/2018 05:54:12 AM - INFO - Symbol: TCH number of records: 563
11/05/2018 05:54:13 AM - INFO - Symbol: UTR number of records: 773
11/05/2018 05:54:13 AM - INFO - Symbol: WAF number of records: 1552
11/05/2018 05:54:13 AM - INFO - Symbol: DGX number of records: 1138
11/05/2018 05:54:14 AM - INFO - Symbol: KSN number of records: 1585
11/05/2018 05:54:14 AM - INFO - Symbol: SMD number of records: 1583
11/05/2018 05:54:14 AM - INFO - Symbol: ELX number of records: 2125
11/05/2018 05:54:15 AM - INFO - Symbol: CMI number of records: 1658
11/05/2018 05:54:15 AM - INFO - Symbol: CWY number of records: 2567
11/05/2018 05:54:15 AM - INFO - Symbol: FAR number of records: 2649
11/05/2018 05:54:15 AM - INFO - Symbol: AKP number of records: 1679
11/05/2018 05:54:16 AM - INFO - Symbol: BNV number of records: 210
11/05/2018 05:54:16 AM - INFO - Symbol: LHM number of records: 201
11/05/2018 05:54:16 AM - INFO - Symbol: HOR number of records: 1394
11/05/2018 05:54:17 AM - INFO - Symbol: BWF number of records: 932
11/05/2018 05:54:17 AM - INFO - Symbol: CNC number of records: 329
11/05/2018 05:54:17 AM - INFO - Symbol: FFT number of records: 558
11/05/2018 05:54:18 AM - INFO - Symbol: CTN number of records: 2581
11/05/2018 05:54:18 AM - INFO - Symbol: VMY number of records: 1715
11/05/2018 05:54:18 AM - INFO - Symbol: USF number of records: 48
11/05/2018 05:54:18 AM - INFO - Symbol: ALR number of records: 1722
11/05/2018 05:54:19 AM - INFO - Symbol: FGF number of records: 1033
11/05/2018 05:54:19 AM - INFO - Symbol: LBL number of records: 1369
11/05/2018 05:54:19 AM - INFO - Symbol: CJC number of records: 1592
11/05/2018 05:54:20 AM - INFO - Symbol: OKU number of records: 1620
11/05/2018 05:54:20 AM - INFO - Symbol: TOL number of records: 1992
11/05/2018 05:54:20 AM - INFO - Symbol: IDX number of records: 570
11/05/2018 05:54:21 AM - INFO - Symbol: DSB number of records: 748
11/05/2018 05:54:21 AM - INFO - Symbol: AJX number of records: 1657
11/05/2018 05:54:21 AM - INFO - Symbol: RTG number of records: 804
11/05/2018 05:54:21 AM - INFO - Symbol: SKC number of records: 2554
11/05/2018 05:54:22 AM - INFO - Symbol: BCL number of records: 2135
11/05/2018 05:54:22 AM - INFO - Symbol: PAF number of records: 904
11/05/2018 05:54:22 AM - INFO - Symbol: PNI number of records: 2051
11/05/2018 05:54:23 AM - INFO - Symbol: CMW number of records: 2672
11/05/2018 05:54:23 AM - INFO - Symbol: AAU number of records: 1151
11/05/2018 05:54:23 AM - INFO - Symbol: LMG number of records: 1893
11/05/2018 05:54:23 AM - INFO - Symbol: RNI number of records: 1863
11/05/2018 05:54:24 AM - INFO - Symbol: NVO number of records: 524
11/05/2018 05:54:24 AM - INFO - Symbol: FRM number of records: 974
11/05/2018 05:54:25 AM - INFO - Symbol: IMU number of records: 1983
11/05/2018 05:54:25 AM - INFO - Symbol: CAZ number of records: 2212
11/05/2018 05:54:25 AM - INFO - Symbol: OEL number of records: 2620
11/05/2018 05:54:26 AM - INFO - Symbol: CGM number of records: 1597
11/05/2018 05:54:26 AM - INFO - Symbol: IVR number of records: 2413
11/05/2018 05:54:26 AM - INFO - Symbol: IFL number of records: 2680
11/05/2018 05:54:27 AM - INFO - Symbol: CM8 number of records: 1388
11/05/2018 05:54:27 AM - INFO - Symbol: QMN number of records: 1727
11/05/2018 05:54:27 AM - INFO - Symbol: PGH number of records: 1041
11/05/2018 05:54:28 AM - INFO - Symbol: VKA number of records: 963
11/05/2018 05:54:28 AM - INFO - Symbol: HST number of records: 1164
11/05/2018 05:54:28 AM - INFO - Symbol: ARS number of records: 225
11/05/2018 05:54:29 AM - INFO - Symbol: TZL number of records: 2257
11/05/2018 05:54:29 AM - INFO - Symbol: SGM number of records: 2672
11/05/2018 05:54:29 AM - INFO - Symbol: SYR number of records: 2003
11/05/2018 05:54:30 AM - INFO - Symbol: BBG number of records: 2645
11/05/2018 05:54:30 AM - INFO - Symbol: ICG number of records: 1743
11/05/2018 05:54:30 AM - INFO - Symbol: PBX number of records: 1664
11/05/2018 05:54:30 AM - INFO - Symbol: CWN number of records: 2570
11/05/2018 05:54:31 AM - INFO - Symbol: GXL number of records: 2394
11/05/2018 05:54:31 AM - INFO - Symbol: UXC number of records: 2179
11/05/2018 05:54:31 AM - INFO - Symbol: VRL number of records: 2631
11/05/2018 05:54:32 AM - INFO - Symbol: GMM number of records: 1008
11/05/2018 05:54:32 AM - INFO - Symbol: BLR number of records: 1924
11/05/2018 05:54:32 AM - INFO - Symbol: RCY number of records: 925
11/05/2018 05:54:32 AM - INFO - Symbol: TWR number of records: 2309
11/05/2018 05:54:33 AM - INFO - Symbol: ATR number of records: 1165
11/05/2018 05:54:33 AM - INFO - Symbol: MCA number of records: 856
11/05/2018 05:54:33 AM - INFO - Symbol: BSM number of records: 2069
11/05/2018 05:54:34 AM - INFO - Symbol: QUR number of records: 1471
11/05/2018 05:54:34 AM - INFO - Symbol: DLS number of records: 2175
11/05/2018 05:54:34 AM - INFO - Symbol: MDL number of records: 2606
11/05/2018 05:54:35 AM - INFO - Symbol: XRO number of records: 1321
11/05/2018 05:54:35 AM - INFO - Symbol: PRW number of records: 1403
11/05/2018 05:54:35 AM - INFO - Symbol: IOF number of records: 2675
11/05/2018 05:54:36 AM - INFO - Symbol: K2F number of records: 150
11/05/2018 05:54:36 AM - INFO - Symbol: PPK number of records: 1033
11/05/2018 05:54:36 AM - INFO - Symbol: GDA number of records: 1339
11/05/2018 05:54:36 AM - INFO - Symbol: OGX number of records: 1226
11/05/2018 05:54:37 AM - INFO - Symbol: PPP number of records: 2151
11/05/2018 05:54:37 AM - INFO - Symbol: RCO number of records: 1399
11/05/2018 05:54:37 AM - INFO - Symbol: MZI number of records: 2228
11/05/2018 05:54:38 AM - INFO - Symbol: SM8 number of records: 290
