"symbol","previousClose","open","dividendYield","dividendPerShare","dividendPayDate","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","1YrTargetPrice","daysValueChange","pricePaid","holdingsGainPercent","annualizedGain","holdingsGain","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","epsEstimateNextYear","epsEstimateNextQuarter","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio","tickerTrend","holdingsValue"
"ATC",0.17,0.17,,,,,0,0.030299999999999997,"2017-01-30",0.17,0.17,0.17,,,,,,,0.2,0.08,40020000,,"ASX",1309802,-0.01,,,0,0.04,-3240000,,4.71,,0,,,"0.00",,
"ATL",1.39,1.4,,,,,0.02,0.0179,"2017-01-30",1.4,1.43,1.42,,,,,,,1.43,1.22,205840000,,"ASX",262184,0.04,0.09,,0,0.32,38910000,1.3,4.37,33.02,0,15.78,14.2,"0.00",,
"ATP",0.04,0.04,,,,"6/26/2008",0,0.0256,"2017-01-30",0.04,0.04,0.04,,,,,,,0.05,0.02,16780000,,"ASX",2200,0,,,0,0.06,2089999.9999999998,0.89,0.63,20,0,,,"0.00",,
"ATS",0.25,0.25,,,,,0,0,"2017-01-30",0.25,0.25,0.25,,,,,,,0.28,0.21,55390000,,"ASX",170214,-0.24,,,0,0.18,-12470000,4615.75,1.4,,0,,,"0.00",,
"ATU",0.47,0.46,,,,,0,0,"2017-01-30",0.46,0.47,0.47,,,,,,,1.07,0.34,93020000,,"ASX",47278,-0.06,-0.95,,0,0.02,-6490000,436.64,29.37,,0,,,"0.00",,
"AUB",10.9,10.89,,,,"4/8/2016",-0.18,-0.0165,"2017-01-30",10.65,10.89,10.72,,,,,,,12,8.03,684430000,,"ASX",22941,0.67,0.63,,0,4.61,61670000,2.98,2.36,16.12,61.79,17.02,16,"0.00",,
"AUC",0.035,0.035,,,,,-0.003,-0.08571,"2017-01-30",0.032,0.035,0.032,,,,,,,0.069,0.025,10480000,,"ASX",78129,-0.016,,,0,0.11,-1230000,3293.822,0.318,,0,,,"0.000",,
"AUF",1.22,1.24,,,,,0.02,0.016399999999999998,"2017-01-30",1.24,1.24,1.24,,,,,,,1.35,1.17,,,"ASX",27300,,,,0,0,"0.00",,,,0,,,"0.00",,
"AUI",7.76,7.72,,,,,-0.05,-0.0064,"2017-01-30",7.71,7.75,7.71,,,,,,,7.9,6.73,951210000,,"ASX",10858,0.35,,,0,6.76,"0.00",19.79,1.15,21.9,0,,,"0.00",,
"AUK",0.013,0.013,,,,,0,0,"2017-01-30",0.013,0.013,0.013,,,,,,,0.016,0.001,4110000.0000000005,,"ASX",30000,-0.003,,,0,0.027,"-896978.00",,0.481,,0,,,"0.000",,
