,column_name,importance
324,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.0004938766
120,twenty_six_week_mean,0.00049107044
318,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.0004901351
363,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",0.0004826521
411,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_2__w_5",0.000479846
375,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",0.00047891063
124,twenty_six_week_bollinger_lower,0.0004770399
114,twelve_week_price_return,0.00047516913
68,two_week_mean,0.0004732984
369,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.00046020318
409,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_2__w_2",0.00045833245
228,"value__agg_linear_trend__f_agg_""mean""__chunk_len_5__attr_""slope""",0.00044991408
103,eight_week_dividend_return,0.00044710797
98,eight_week_bollinger_lower,0.00044056037
123,twenty_six_week_bollinger_upper,0.00044056037
373,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.000439625
439,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_5",0.00043494813
368,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",0.00041811142
118,twenty_six_week_min,0.00040782234
323,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0.00040595158
87,four_week_price_change,0.00040408084
338,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",0.00040314547
663,"value__linear_trend__attr_""stderr""",0.00039753324
196,H05_GLFSEPTPOP_T1P,0.00039379174
350,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.00038630876
115,twelve_week_dividend_value,0.00038443803
91,four_week_total_return,0.0003816319
131,fifty_two_week_min,0.0003816319
344,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",0.00038069653
78,two_week_total_return,0.0003788258
374,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",0.0003750843
185,GRCPNRAD_T2_5P,0.00036198908
435,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_5",0.00035637684
90,four_week_dividend_return,0.00034889387
61,one_week_price_change,0.0003479585
85,four_week_bollinger_lower,0.00034328163
50,QuoteLast,0.0003348633
97,eight_week_bollinger_upper,0.00033299255
84,four_week_bollinger_upper,0.0003311218
206,"value__agg_linear_trend__f_agg_""max""__chunk_len_10__attr_""intercept""",0.00032270345
267,value__autocorrelation__lag_0,0.00032176808
214,"value__agg_linear_trend__f_agg_""max""__chunk_len_5__attr_""intercept""",0.0003208327
128,twenty_six_week_dividend_value,0.00031989734
74,two_week_price_change,0.00031896197
81,four_week_mean,0.00031522047
94,eight_week_mean,0.00031147897
56,one_week_median,0.0003105436
59,one_week_bollinger_lower,0.00030960824
349,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.0003077375
141,fifty_two_week_dividend_value,0.00030586674
343,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",0.00030493137
238,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""intercept""",0.000303996
404,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_1__w_10",0.0003011899
107,twelve_week_mean,0.00029838376
64,one_week_dividend_return,0.00029651303
113,twelve_week_price_change,0.0002946423
230,"value__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""intercept""",0.0002871593
119,twenty_six_week_max,0.00028341782
132,fifty_two_week_max,0.00028248245
348,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",0.0002731287
77,two_week_dividend_return,0.00027219334
