,symbol,mean_actual_val,median_actual_val,mean_predicted_val,median_predicted_val,mae,mape,rsquared,explain_variance,medae,num_vals
0,IGL,3.765352964401245,3.807875633239746,3.0657172203063965,2.8742494583129883,1.7299411296844482,42.09303259849548,0.8027478124489873,0.8172029256820679,0.9814361929893494,119
0,IGO,-0.9291799068450928,1.556418776512146,-0.8687846064567566,0.3459887206554413,3.7998056411743164,47.876229882240295,0.9424436575659747,0.9424513578414917,2.781675338745117,563
0,IGR,1.8180756568908691,1.3640793561935425,1.9461742639541626,0.4105684757232666,3.8991689682006836,43.77807378768921,0.9613019040178583,0.9613238573074341,3.0237064361572266,268
0,IGS,-17.106821060180664,-11.726506233215332,-14.733214378356934,-6.2625732421875,10.57562255859375,92.05435514450073,0.8041673755371403,0.808650016784668,6.713885307312012,302
0,IHK,0.011077206581830978,0.9360017776489258,0.024490272626280785,0.5678942203521729,1.5614265203475952,37.22088932991028,0.9083703005265565,0.9083739519119263,1.1228996515274048,362
0,IHL,-13.6886568069458,-4.733664512634277,-11.453377723693848,-2.734651565551758,12.195406913757324,60.55622696876526,0.8149000797937878,0.817956805229187,8.107985496520996,346
0,IHOO,-3.2586886882781982,1.889796257019043,-3.2677857875823975,1.3872442245483398,1.3220678567886353,59.17675495147705,0.9769026985755352,0.9769028425216675,0.5770168900489807,107
0,IHS,-9.338666915893555,-8.854170799255371,-6.763089656829834,-4.572806358337402,7.2638163566589355,54.84010577201843,0.8056548934729659,0.8164263367652893,4.452883720397949,164
0,IHVV,3.9725382328033447,3.128239154815674,3.487851619720459,2.636843681335449,3.2152369022369385,34.14787948131561,0.7407198285957171,0.7412518262863159,0.7195242643356323,152
0,IIL,-0.8590090870857239,2.864271640777588,-0.807820737361908,1.1221263408660889,7.559248924255371,38.98734152317047,0.9023015538644811,0.9023035764694214,4.695265293121338,164
0,IIN,3.483711004257202,4.505300521850586,3.262770414352417,2.942490816116333,2.2610790729522705,36.312007904052734,0.9297036292293743,0.9300249218940735,1.7038931846618652,423
0,IJH,1.462462067604065,2.136025905609131,1.5899657011032104,1.445425033569336,1.3044886589050293,32.86740183830261,0.891934794490556,0.8923282623291016,0.812387228012085,319
