symbol,previousClose,open,dividendYield,dividendPerShare,exDividendDate,change,changeInPercent,lastTradeDate,daysLow,daysHigh,lastTradePriceOnly,52WeekHigh,52WeekLow,marketCapitalization,sharesOwned,stockExchange,volume,earningsPerShare,epsEstimateCurrentYear,bookValue,ebitda,pricePerSales,pricePerBook,peRatio,pegRatio,pricePerEpsEstimateCurrentYear,pricePerEpsEstimateNextYear,shortRatio
CKA,0.017,0.016,,,,-0.001,-0.05882,30/1/17,0.016,0.016,0.016,0.07,0.013,9490000,,ASX,838700,-0.061,-0.03,0.04,-2430000,23.672,0.425,,0,,,0
CKF,6.06,6.06,,,12/7/16,-0.06,-0.0099,30/1/17,5.98,6.1,6,6.73,3.49,575240000,,ASX,178838,0.32,0.37,2.17,77420000,0.99,2.8,18.75,1.11,16.22,14.63,0
CL1,2.76,2.75,,,7/22/2016,-0.08,-0.029,30/1/17,2.66,2.8,2.68,4.2,1.86,313080000,,ASX,122527,0.05,0.07,0.16,8780000,14.18,17.14,58.26,1.25,38.29,29.78,0
CL8,0.02,0.02,,,,-0.003,-0.15,30/1/17,0.016,0.02,0.017,0.039,0.016,6680000,,ASX,5918387,-0.006,,0.006,-2120000,12.8,3.333,,0,,,0
CLA,0.031,0.033,,,,0.001,0.03226,30/1/17,0.031,0.035,0.032,2,0.015,51648,,ASX,11370029,-0.393,0,-0.561,18090000,21.52,,,0,,,0
CLH,1.45,1.46,8.18,0.09,3/9/16,0.01,0.0069,30/1/17,1.45,1.47,1.46,1.64,0.93,196350000,,ASX,125390,0.14,0.15,1.34,39620000,1.47,1.08,10.5,5.22,9.73,9.12,0
CLQ,0.595,0.6,,,,-0.01,-0.01681,30/1/17,0.585,0.64,0.585,0.67,0.115,255680000,,ASX,2625463,-0.016,0.02,0.052,-5490000,178.849,11.442,,0,,,0
CLT,0.25,0.26,,,9/8/16,0,0.0196,30/1/17,0.26,0.26,0.26,0.28,0.1,13510000,,ASX,2100,0.03,,0.26,2230000,0.18,0.97,7.88,0,,,0
CLV,0.54,0.52,,,10/27/2016,-0.02,-0.028,30/1/17,0.52,0.53,0.52,0.69,0.25,85890000,,ASX,101905,0.01,0.02,0.18,3260000,2.06,2.92,40,0.74,26,13,0
CLW,3.88,3.9,,,,-0.07,-0.018,30/1/17,3.81,3.91,3.81,4.29,3.6,,,ASX,74645,,0.17,0,0,,,,0,22.41,14.11,0
CLX,0.85,0.85,,,3/31/2016,0,0,30/1/17,0.85,0.85,0.85,1.08,0.7,58250000,,ASX,4590,0.3,0.05,1.17,11240000,0.39,0.72,2.81,0,17,14.17,0
