symbol,previousClose,open,dividendYield,dividendPerShare,exDividendDate,change,changeInPercent,lastTradeDate,daysLow,daysHigh,lastTradePriceOnly,52WeekHigh,52WeekLow,marketCapitalization,sharesOwned,stockExchange,volume,earningsPerShare,epsEstimateCurrentYear,bookValue,ebitda,pricePerSales,pricePerBook,peRatio,pegRatio,pricePerEpsEstimateCurrentYear,pricePerEpsEstimateNextYear,shortRatio,tickerTrend
RFG,6.44,6.45,,,9/9/16,-0.05,-0.0078,1/2/17,6.34,6.47,6.39,7.37,4.15,1050000000,,ASX,708984,0.37,0.47,2.63,104060000,6.28,2.45,17.09,1.47,13.6,12.29,0,
RFL,0.091,0.095,,,10/25/2006,0.004,0.04396,1/2/17,0.095,0.095,0.095,0.155,0.086,37230000,,ASX,10000,-0.008,-0.2,0.149,-2120000,0.824,0.611,,0,,0.95,0,
RFN,0.04,0.038,,,,-0.003,-0.075,1/2/17,0.037,0.038,0.037,0.67,0.032,4000000,,ASX,69953,-0.087,-0.03,0.034,-5170000,7.651,1.176,,0,,,0,
RFT,0.023,0.025,,,,0.001,0.04348,1/2/17,0.022,0.025,0.024,0.057,0.005,32040000,,ASX,481543,0.001,,0.003,1070000,4.026,7.667,24,0,,,0,
RFX,0.22,0.22,,,,0.03,0.1364,1/2/17,0.22,0.25,0.25,0.68,0.19,98410000,,ASX,1891411,-0.04,-0.03,0.04,-13610000,78.56,5.95,,-10.04,,,0,
RGS,0.16,0.15,,,,-0.01,-0.0625,1/2/17,0.15,0.16,0.15,0.19,0.07,31330000,,ASX,71356,-0.02,0.03,0.02,-5970000,17.8,6.96,,0,5,,0,
RHC,66.8,66.55,3.1,1.58,9/6/16,-0.49,-0.0073,1/2/17,65.64,67.57,66.31,84.08,55.84,13300000000,,ASX,877314,2.16,2.6,8.83,1200000000,1.54,7.57,30.68,2.36,25.5,22.71,0,
RHCPA,105.6,,,,,0.26,0.0025,1/2/17,105.52,106.09,105.86,108,100.86,,,ASX,2267,,,0,,,,,0,,,,
RHI,0.5,0.5,,,,0,0,1/2/17,0.5,0.5,0.5,0.58,0.1,24700000,,ASX,40000,-0.01,,0.2,-669525,5849.51,2.53,,0,,,0,
RHL,3.05,3,,,6/2/16,-0.05,-0.0164,1/2/17,2.95,3,3,3.6,2.72,236090000,,ASX,29383,0.05,0.21,2.57,27840000,0.14,1.19,55.56,1.17,14.29,13.04,0,
RHP,0.56,0.55,,,3/22/2010,-0.02,-0.0357,1/2/17,0.54,0.55,0.54,1.34,0.44,72930000,,ASX,10700,0,0.02,0.3,-1160000,0.53,1.89,,0.1,27,13.5,0,
